title,genre,description,rating
Interstellar,Sci-Fi Adventure Drama,"A team travels through space to find a new home for humanity",8.7
Inception,Sci-Fi Thriller,"A skilled thief enters people's dreams to steal secrets",8.8
The Martian,Sci-Fi Adventure,"An astronaut struggles to survive alone on Mars",8.0
Gravity,Sci-Fi Thriller,"An astronaut struggles to survive after an accident in space",7.7
Arrival,Sci-Fi Drama,"A linguist tries to communicate with mysterious alien visitors",7.9
Titanic,Romance Drama,"A young couple falls in love aboard the Titanic",7.9
The Notebook,Romance Drama,"A romantic story about two people who fall deeply in love",7.8
Avengers: Endgame,Action Adventure,"Superheroes fight to save the universe",8.4
Iron Man,Action Sci-Fi,"A billionaire builds a powerful armored suit",7.9
Spider-Man,Action Adventure,"A young hero discovers his powers and protects his city",7.3
